127.0.0.1 - - [20/Jan/2022:23:37:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:09 +0900] "GET /milkyWayForest/index.jsp HTTP/1.1" 200 18209
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/thirdScroll.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/body.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/back-to-top.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/jquery.fullPage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/js/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/image/main1_Image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/image/milkyWayForestLogo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/js/body.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/css/footer_mobile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/js/jquery.fullPage.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2022:23:37:10 +0900] "GET /milkyWayForest/image/mainImage3.jpg HTTP/1.1" 304 -
